Acquafredda,http://www.comuni-italiani.it/017/001/index.html,,1.565,http://www.comune.acquafredda.bs.it/
Adro,http://www.comuni-italiani.it/017/002/index.html,info@comunediadro.net,7.140,http://www.comune.adro.bs.it/
Agnosine,http://www.comuni-italiani.it/017/003/index.html,sindaco@comune.agnosine.bs.it,1.752,http://www.comune.agnosine.bs.it/
Alfianello,http://www.comuni-italiani.it/017/004/index.html,,2.494,http://www.comune.alfianello.bs.it/
Anfo,http://www.comuni-italiani.it/017/005/index.html,info@comune.anfo.bs.it,494,http://www.comune.anfo.bs.it/
Angolo Terme,http://www.comuni-italiani.it/017/006/index.html,,2.406,http://www.comune.angolo-terme.bs.it/
Artogne,http://www.comuni-italiani.it/017/007/index.html,info@comune.artogne.bs.it,3.668,http://www.comune.artogne.bs.it/
Azzano Mella,http://www.comuni-italiani.it/017/008/index.html,info@comune.azzanomella.bs.it,3.189,http://www.comune.azzanomella.bs.it/
Bagnolo Mella,http://www.comuni-italiani.it/017/009/index.html,,12.677,http://www.comune.bagnolomella.bs.it/
Bagolino,http://www.comuni-italiani.it/017/010/index.html,segreteria@comune.bagolino.bs.it,3.879,http://www.comune.bagolino.bs.it/
Barbariga,http://www.comuni-italiani.it/017/011/index.html,,2.343,http://www.comune.barbariga.bs.it/
Barghe,http://www.comuni-italiani.it/017/012/index.html,sindaco@comune.barghe.bs.it,1.203,http://www.comune.barghe.bs.it/
Bassano Bresciano,http://www.comuni-italiani.it/017/013/index.html,,2.330,http://www.comune.bassano-bresciano.bs.it/
Bedizzole,http://www.comuni-italiani.it/017/014/index.html,urp@comunebedizzole.it,12.337,http://www.comune.bedizzole.bs.it/
Berlingo,http://www.comuni-italiani.it/017/015/index.html,info@comune.berlingo.bs.it,2.706,http://www.comune.berlingo.bs.it/
Berzo Demo,http://www.comuni-italiani.it/017/016/index.html,info@comune.berzo-demo.bs.it,1.663,http://www.comune.berzo-demo.bs.it/
Berzo Inferiore,http://www.comuni-italiani.it/017/017/index.html,info@comune.berzo-inferiore.bs.it,2.486,http://www.comune.berzo-inferiore.bs.it/
Bienno,http://www.comuni-italiani.it/017/018/index.html,info@comune.bienno.bs.it,3.487,http://www.bienno.gov.it/
Bione,http://www.comuni-italiani.it/017/019/index.html,protocollo@comune.bione.bs.it,1.370,http://www.comune.bione.bs.it/
Borgo San Giacomo,http://www.comuni-italiani.it/017/020/index.html,info@comune.borgosangiacomo.bs.it,5.411,http://www.comune.borgosangiacomo.bs.it/
Borgosatollo,http://www.comuni-italiani.it/017/021/index.html,segreteria@comune.borgosatollo.bs.it,9.286,http://www.comune.borgosatollo.bs.it/
Borno,http://www.comuni-italiani.it/017/022/index.html,info@comune.borno.bs.it,2.606,http://www.comune.borno.bs.it/
Botticino,http://www.comuni-italiani.it/017/023/index.html,info@comune.botticino.bs.it,10.917,http://www.comune.botticino.bs.it/
Bovegno,http://www.comuni-italiani.it/017/024/index.html,,2.182,http://www.comune.bovegno.bs.it/
Bovezzo,http://www.comuni-italiani.it/017/025/index.html,info@comune.bovezzo.bs.it,7.485,http://www.comune.bovezzo.bs.it/
Brandico,http://www.comuni-italiani.it/017/026/index.html,,1.685,http://www.comune.brandico.bs.it/
Braone,http://www.comuni-italiani.it/017/027/index.html,info@comune.braone.bs.it,692,http://www.comune.braone.bs.it/
Breno,http://www.comuni-italiani.it/017/028/index.html,info@comune.breno.bs.it,4.856,http://www.comune.breno.bs.it/
Brescia,http://www.comuni-italiani.it/017/029/index.html,uffgab@comune.brescia.it,196.670,http://www.comune.brescia.it/
Brione,http://www.comuni-italiani.it/017/030/index.html,sindaco@comune.brione.bs.it,711,http://www.comune.brione.bs.it/
Caino,http://www.comuni-italiani.it/017/031/index.html,ufficio.segreteria@comune.caino.bs.it,2.161,http://www.comune.caino.bs.it/
Calcinato,http://www.comuni-italiani.it/017/032/index.html,segreteria@comune.calcinato.bs.it,12.915,http://www.comune.calcinato.bs.it/
Calvagese della Riviera,http://www.comuni-italiani.it/017/033/index.html,info@comune.calvagesedellariviera.bs.it,3.569,http://www.comune.calvagesedellariviera.bs.it/
Calvisano,http://www.comuni-italiani.it/017/034/index.html,info@comunedicalvisano.it,8.502,http://www.comune.calvisano.bs.it/
Capo di Ponte,http://www.comuni-italiani.it/017/035/index.html,info@comune.capo-di-ponte.bs.it,2.453,http://www.comune.capo-di-ponte.bs.it/
