Alagna Valsesia,http://www.comuni-italiani.it/002/002/index.html,info@comune.alagnavalsesia.vc.it,431,http://www.comune.alagnavalsesia.vc.it/
Albano Vercellese,http://www.comuni-italiani.it/002/003/index.html,,345,http://www.comune.albanovercellese.vc.it/
Alice Castello,http://www.comuni-italiani.it/002/004/index.html,,2.652,http://www.comune-alicecastello-vercelli.it/
Arborio,http://www.comuni-italiani.it/002/006/index.html,,895,http://www.comune.arborio.vc.it/
Asigliano Vercellese,http://www.comuni-italiani.it/002/007/index.html,,1.440,http://www.comune.asiglianovercellese.vc.it/
Balmuccia,http://www.comuni-italiani.it/002/008/index.html,balmuccia@reteunitaria.piemonte.it,114,http://www.comune.balmuccia.vc.it/
Balocco,http://www.comuni-italiani.it/002/009/index.html,,228,http://www.comunedibalocco.it/
Bianzè,http://www.comuni-italiani.it/002/011/index.html,sportellocittadino@comune.bianze.vc.it,1.950,http://www.comune.bianze.vc.it/
Boccioleto,http://www.comuni-italiani.it/002/014/index.html,,190,http://www.comune.boccioleto.vc.it/
Borgo d'Ale,http://www.comuni-italiani.it/002/015/index.html,,2.391,http://www.comune.borgodale.vc.it/
Borgo Vercelli,http://www.comuni-italiani.it/002/017/index.html,protocollo@comuneborgovercelli.it,2.233,http://www.comuneborgovercelli.it/
Borgosesia,http://www.comuni-italiani.it/002/016/index.html,anagrafe.borgosesia@reteunitaria.piemonte.it,12.790,http://www.comune.borgosesia.vc.it/
Breia,http://www.comuni-italiani.it/002/019/index.html,breia@reteunitaria.piemonte.it,175,http://www.comune.breia.vc.it/
Buronzo,http://www.comuni-italiani.it/002/021/index.html,,866,http://www.comunediburonzo.it/
Campertogno,http://www.comuni-italiani.it/002/025/index.html,,239,http://www.comune.campertogno.vc.it/
Carcoforo,http://www.comuni-italiani.it/002/029/index.html,,75,http://www.comune.carcoforo.vc.it/
Caresana,http://www.comuni-italiani.it/002/030/index.html,caresana@comuniubv.it,1.098,http://www.comune.caresana.vc.it/
Caresanablot,http://www.comuni-italiani.it/002/031/index.html,,1.133,http://www.comune.caresanablot.vc.it/
Carisio,http://www.comuni-italiani.it/002/032/index.html,sindaco.carisio@ruparpiemonte.it,832,http://www.comune.carisio.vc.it/
Casanova Elvo,http://www.comuni-italiani.it/002/033/index.html,casanova.elvo@reteunitaria.piemonte.it,227,http://www.comune.casanovaelvo.vc.it/
