Adrara San Martino,http://www.comuni-italiani.it/016/001/index.html,segreteria.protocollo@adrarasm.bg.it,2.263,http://www.adrarasm.bg.it/
Adrara San Rocco,http://www.comuni-italiani.it/016/002/index.html,protocollo@comune.adrarasanrocco.bg.it,819,http://www.comune.adrarasanrocco.bg.it/
Albano Sant'Alessandro,http://www.comuni-italiani.it/016/003/index.html,info@comune.albano.bg.it,8.251,http://www.comune.albano.bg.it/
Albino,http://www.comuni-italiani.it/016/004/index.html,protocollo@albino.it,17.953,http://www.comune.albino.bg.it/
Algua,http://www.comuni-italiani.it/016/248/index.html,info@comune.algua.bg.it,674,http://www.comune.algua.bg.it/
Almè,http://www.comuni-italiani.it/016/005/index.html,,5.619,http://www.comune.alme.bg.it/
Almenno San Bartolomeo,http://www.comuni-italiani.it/016/006/index.html,info@comune.almennosanbartolomeo.bergamo.it,6.249,http://www.comune.almennosanbartolomeo.bergamo.it/
Almenno San Salvatore,http://www.comuni-italiani.it/016/007/index.html,urp@comune.almenno-san-salvatore.bg.it,5.710,http://www.comune.almenno-san-salvatore.bg.it/
Alzano Lombardo,http://www.comuni-italiani.it/016/008/index.html,sindaco@comune.alzano.bg.it,13.652,http://www.comune.alzano.bg.it/
Ambivere,http://www.comuni-italiani.it/016/009/index.html,urp@comune.ambivere.bg.it,2.384,http://www.comune.ambivere.bg.it/
Antegnate,http://www.comuni-italiani.it/016/010/index.html,sindaco@comune.antegnate.bg.it,3.219,http://www.comune.antegnate.bg.it/
Arcene,http://www.comuni-italiani.it/016/011/index.html,info@comune.arcene.bg.it,4.837,http://www.comune.arcene.bg.it/
Ardesio,http://www.comuni-italiani.it/016/012/index.html,info@comune.ardesio.bg.it,3.490,http://www.comune.ardesio.bg.it/
Arzago d'Adda,http://www.comuni-italiani.it/016/013/index.html,amministratori@comune.arzago.bg.it,2.749,http://www.comune.arzago.bg.it/
Averara,http://www.comuni-italiani.it/016/014/index.html,info@comune.averara.bg.it,182,http://www.comune.averara.bg.it/
Aviatico,http://www.comuni-italiani.it/016/015/index.html,,557,http://www.comunediaviatico.it/
