Alagna Valsesia,http://www.comuni-italiani.it/002/002/index.html,info@comune.alagnavalsesia.vc.it
Balmuccia,http://www.comuni-italiani.it/002/008/index.html,balmuccia@reteunitaria.piemonte.it
Bianzè,http://www.comuni-italiani.it/002/011/index.html,sportellocittadino@comune.bianze.vc.it
Borgo Vercelli,http://www.comuni-italiani.it/002/017/index.html,protocollo@comuneborgovercelli.it
Borgosesia,http://www.comuni-italiani.it/002/016/index.html,anagrafe.borgosesia@reteunitaria.piemonte.it
Breia,http://www.comuni-italiani.it/002/019/index.html,breia@reteunitaria.piemonte.it
Caresana,http://www.comuni-italiani.it/002/030/index.html,caresana@comuniubv.it
Carisio,http://www.comuni-italiani.it/002/032/index.html,sindaco.carisio@ruparpiemonte.it
Casanova Elvo,http://www.comuni-italiani.it/002/033/index.html,casanova.elvo@reteunitaria.piemonte.it
Cellio,http://www.comuni-italiani.it/002/038/index.html,cellio@reteunitaria.piemonte.it
Cervatto,http://www.comuni-italiani.it/002/041/index.html,cervatto@reteunitaria.piemonte.it
Cigliano,http://www.comuni-italiani.it/002/042/index.html,sindaco@cigliano.net
Cravagliana,http://www.comuni-italiani.it/002/048/index.html,cravagliana@reteunitaria.piemonte.it
Crescentino,http://www.comuni-italiani.it/002/049/index.html,crescentino@cert.ruparpiemonte.it
Desana,http://www.comuni-italiani.it/002/054/index.html,desana@reteunitaria.piemonte.it
Fontanetto Po,http://www.comuni-italiani.it/002/058/index.html,fontanetto.po@reteunitaria.piemonte.it
Formigliana,http://www.comuni-italiani.it/002/059/index.html,formigliana@reteunitaria.piemonte.it
Gattinara,http://www.comuni-italiani.it/002/061/index.html,info@comune.gattinara.vc.it
Ghislarengo,http://www.comuni-italiani.it/002/062/index.html,ghislarengo@ruparpiemonte.it
Greggio,http://www.comuni-italiani.it/002/065/index.html,greggio@reteunitaria.piemonte.it
Guardabosone,http://www.comuni-italiani.it/002/066/index.html,info@comuneguardabosone.it
Lamporo,http://www.comuni-italiani.it/002/067/index.html,uffici@comune.lamporo.vc.it
Lignana,http://www.comuni-italiani.it/002/070/index.html,lignana@reteunitaria.piemonte.it
Livorno Ferraris,http://www.comuni-italiani.it/002/071/index.html,segreteria@comune.livornoferraris.vc.it
Lozzolo,http://www.comuni-italiani.it/002/072/index.html,municipio@comune.lozzolo.vc.it
Moncrivello,http://www.comuni-italiani.it/002/079/index.html,uffici@comune.moncrivello.vc.it
Motta de' Conti,http://www.comuni-italiani.it/002/082/index.html,mottadeiconti@comuniubv.it
Olcenengo,http://www.comuni-italiani.it/002/088/index.html,info@comuneolcenengo.it
Palazzolo Vercellese,http://www.comuni-italiani.it/002/090/index.html,palazzolo.vercellese@reteunitaria.piemonte.it
Pertengo,http://www.comuni-italiani.it/002/091/index.html,pertengo@comuniubv.it
Pezzana,http://www.comuni-italiani.it/002/093/index.html,pezzana@comuniubv.it
Pila,http://www.comuni-italiani.it/002/096/index.html,pila@ruparpiemonte.it
Quinto Vercellese,http://www.comuni-italiani.it/002/108/index.html,quinto.vercellese@ruparpiemonte.it
Rassa,http://www.comuni-italiani.it/002/110/index.html,rassa@reteunitaria.piemonte.it
Rima San Giuseppe,http://www.comuni-italiani.it/002/111/index.html,info@comune.rimasangiuseppe.vc.it
Rimasco,http://www.comuni-italiani.it/002/112/index.html,protocollo@comune.rimasco.vc.it
Rimella,http://www.comuni-italiani.it/002/113/index.html,rimella@reteunitaria.piemonte.it
Riva Valdobbia,http://www.comuni-italiani.it/002/114/index.html,riva.valdobbia@reteunitaria.piemonte.it
Roasio,http://www.comuni-italiani.it/002/116/index.html,sindaco@comune.roasio.vc.it
Ronsecco,http://www.comuni-italiani.it/002/118/index.html,amministrativo@comune.ronsecco.vc.it
Rovasenda,http://www.comuni-italiani.it/002/122/index.html,sindaco@comune.rovasenda.vc.it
Sabbia,http://www.comuni-italiani.it/002/123/index.html,sabbia@reteunitaria.piemonte.it
Salasco,http://www.comuni-italiani.it/002/126/index.html,comune.salasco.vc@legalmail.it
Sali Vercellese,http://www.comuni-italiani.it/002/127/index.html,sali.vercellese@reteunitaria.piemonte.it
Saluggia,http://www.comuni-italiani.it/002/128/index.html,sindaco@comune.saluggia.vc.it
San Giacomo Vercellese,http://www.comuni-italiani.it/002/035/index.html,info@comune.sangiacomovercellese.vc.it
Santhià,http://www.comuni-italiani.it/002/133/index.html,segreteria@comune.santhia.vc.it
Scopa,http://www.comuni-italiani.it/002/134/index.html,scopa@reteunitaria.piemonte.it
Serravalle Sesia,http://www.comuni-italiani.it/002/137/index.html,protocollo.serravalle.sesia@reteunitaria.piemonte.it
Tricerro,http://www.comuni-italiani.it/002/147/index.html,sindaco.tricerro@reteunitaria.piemonte.it
Trino,http://www.comuni-italiani.it/002/148/index.html,affarigenerali.trino@comune.trino.vc.it
Tronzano Vercellese,http://www.comuni-italiani.it/002/150/index.html,comune.tronzanovercellese.vc@cert.legalmail.it
Valduggia,http://www.comuni-italiani.it/002/152/index.html,valduggia@reteunitaria.piemonte.it
Varallo,http://www.comuni-italiani.it/002/156/index.html,info@comune.varallo.vc.it
Vercelli,http://www.comuni-italiani.it/002/158/index.html,urp.comune@comune.vercelli.it
Vocca,http://www.comuni-italiani.it/002/166/index.html,sindaco.vocca@reteunitaria.piemonte.it
